legal_articles,legal_violation_categories,violation_keywords,is_generic,before_legal_categories,reason_ai,original_big_category
《中华人民共和国尘肺病防治条例》第二十三条第一项,劳动保障/用工,尘肺病防治,False,,从removed恢复: 匹配关键词 尘肺病防治,劳动保障/用工
《中华人民共和国建筑法》,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第46号)第七条,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第46号)第七条的规定,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第46号)第七条第一款,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第46号)第六十四条,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第46号）第七条第一款,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第46号）第六十四条,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""、""",建设工程
《中华人民共和国建筑法》第64条,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""、""",建设工程
《中华人民共和国建筑法》第7条,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""和""",建设工程
《中华人民共和国建筑法》第七十一条,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第七十一条第一款,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀"";""",建设工程
《中华人民共和国建筑法》第七十六条,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第七十四条,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""和国务院""",建设工程
《中华人民共和国建筑法》第七条,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第七条和第六十四条,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第七条的规定,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第七条第一款,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第七条第一款)的规定,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第七条第一款的规定,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第三十九条,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""、""",建设工程
《中华人民共和国建筑法》第三十九条第二款,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""、""",建设工程
《中华人民共和国建筑法》第三十二条第一款,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""和""",建设工程
《中华人民共和国建筑法》第二十九条,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""和""",建设工程
《中华人民共和国建筑法》第二十九条的规定,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第二十九条第一款,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""和""",建设工程
《中华人民共和国建筑法》第二十九条第三款,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""、""",建设工程
《中华人民共和国建筑法》第二十八条,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第二十六条,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""、""",建设工程
《中华人民共和国建筑法》第二十六条第二款,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""、""",建设工程
《中华人民共和国建筑法》第二十四条,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""、""",建设工程
《中华人民共和国建筑法》第五十八条第二款,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第六十一条第二款,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀""以及""",建设工程
《中华人民共和国建筑法》第六十七条,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第六十七条第一款,建设工程,建筑法,False,,从removed恢复: 匹配关键词 建筑法,建设工程
《中华人民共和国建筑法》第六十五条,建设工程,建筑法,False,,"从removed恢复: 匹配关键词 建筑法, 清洗: 截断后缀"";""",建设工程
